xflr5 v6.61

Plane name :, Wing
Polar name :, T1-22.0 m/s-LLT
Freestream speed :, 22.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -6.200,     0.000,   0.016580,   0.000010,   0.011892,   0.011902,   0.000000,   0.000000,  -0.077202,   0.000000,  -0.000000,   22.0000,    1.3748
   -6.100,     0.000,   0.024631,   0.000024,   0.011783,   0.011807,   0.000000,  -0.000000,  -0.079064,   0.000000,   0.000000,   22.0000,    0.9007
   -6.000,     0.000,   0.032665,   0.000044,   0.011668,   0.011712,   0.000000,  -0.000000,  -0.080908,   0.000000,   0.000000,   22.0000,    0.6787
   -5.900,     0.000,   0.040704,   0.000070,   0.011557,   0.011627,   0.000000,  -0.000000,  -0.082751,   0.000000,  -0.000000,   22.0000,    0.5520
   -5.800,     0.000,   0.048760,   0.000101,   0.011454,   0.011555,   0.000000,   0.000000,  -0.084605,   0.000000,  -0.000000,   22.0000,    0.4697
   -5.700,     0.000,   0.056829,   0.000138,   0.011351,   0.011489,   0.000000,   0.000000,  -0.086475,   0.000000,  -0.000000,   22.0000,    0.4099
   -5.600,     0.000,   0.064915,   0.000182,   0.011252,   0.011434,   0.000000,  -0.000000,  -0.088361,   0.000000,  -0.000000,   22.0000,    0.3659
   -5.500,     0.000,   0.073001,   0.000231,   0.011151,   0.011382,   0.000000,  -0.000000,  -0.090256,   0.000000,   0.000000,   22.0000,    0.3321
   -5.400,     0.000,   0.081105,   0.000286,   0.011055,   0.011341,   0.000000,  -0.000000,  -0.092161,   0.000000,   0.000000,   22.0000,    0.3048
   -5.300,     0.000,   0.089164,   0.000347,   0.010947,   0.011293,   0.000000,   0.000000,  -0.094047,   0.000000,  -0.000000,   22.0000,    0.2826
   -5.200,     0.000,   0.097097,   0.000412,   0.010804,   0.011216,   0.000000,  -0.000000,  -0.095874,   0.000000,   0.000000,   22.0000,    0.2642
   -5.100,     0.000,   0.104932,   0.000483,   0.010634,   0.011118,   0.000000,  -0.000000,  -0.097652,   0.000000,   0.000000,   22.0000,    0.2488
   -5.000,     0.000,   0.112835,   0.000560,   0.010483,   0.011043,   0.000000,  -0.000000,  -0.099456,   0.000000,   0.000000,   22.0000,    0.2356
