0.000000000000000000e+00,-3.384450000000000358e+01
1.010101010101010187e-02,-3.345586276231887979e+01
2.020202020202020374e-02,-3.306724773672960538e+01
3.030303030303030387e-02,-3.267867714212660246e+01
4.040404040404040747e-02,-3.229017321101984805e+01
5.050505050505051108e-02,-3.190175819636876398e+01
6.060606060606060774e-02,-3.151345437844751984e+01
7.070707070707071829e-02,-3.112528407175236467e+01
8.080808080808081495e-02,-3.073726963196187967e+01
9.090909090909091161e-02,-3.034943346296105560e+01
1.010101010101010222e-01,-2.996179802394045666e+01
1.111111111111111188e-01,-2.957438583658195341e+01
1.212121212121212155e-01,-2.918721949234287649e+01
1.313131313131313260e-01,-2.880032165985073789e+01
1.414141414141414366e-01,-2.841371509242109639e+01
1.515151515151515194e-01,-2.802742263571170511e+01
1.616161616161616299e-01,-2.764146723552646989e+01
1.717171717171717404e-01,-2.725587194578339378e+01
1.818181818181818232e-01,-2.687065993666132968e+01
1.919191919191919338e-01,-2.648585450294102728e+01
2.020202020202020443e-01,-2.610147907255682043e+01
2.121212121212121271e-01,-2.571755721537612160e+01
2.222222222222222376e-01,-2.533411265222473929e+01
2.323232323232323482e-01,-2.495116926417729175e+01
2.424242424242424310e-01,-2.456875110213294988e+01
2.525252525252525415e-01,-2.418688239669801732e+01
2.626262626262626521e-01,-2.380558756839831958e+01
2.727272727272727626e-01,-2.342489123824576325e+01
2.828282828282828731e-01,-2.304481823868511015e+01
2.929292929292929282e-01,-2.266539362494895116e+01
3.030303030303030387e-01,-2.228664268685047034e+01
3.131313131313131493e-01,-2.190859096104630410e+01
3.232323232323232598e-01,-2.153126424380369031e+01
3.333333333333333703e-01,-2.115468860430904741e+01
3.434343434343434809e-01,-2.077889039855783082e+01
3.535353535353535914e-01,-2.040389628386884269e+01
3.636363636363636465e-01,-2.002973323406958883e+01
3.737373737373737570e-01,-1.965642855540316347e+01
3.838383838383838675e-01,-1.928400990321143382e+01
3.939393939393939781e-01,-1.891250529945413206e+01
4.040404040404040886e-01,-1.854194315112857794e+01
4.141414141414141992e-01,-1.817235226966067430e+01
4.242424242424242542e-01,-1.780376189134433673e+01
4.343434343434343647e-01,-1.743620169891372029e+01
4.444444444444444753e-01,-1.706970184434066695e+01
4.545454545454545858e-01,-1.670429297295889626e+01
4.646464646464646964e-01,-1.634000624902636645e+01
4.747474747474748069e-01,-1.597687338284892355e+01
4.848484848484848619e-01,-1.561492665960072657e+01
4.949494949494949725e-01,-1.525419896999151881e+01
5.050505050505050830e-01,-1.489472384294697882e+01
5.151515151515152491e-01,-1.453653548048670885e+01
5.252525252525253041e-01,-1.417966879500524335e+01
5.353535353535353591e-01,-1.382415944918514938e+01
5.454545454545455252e-01,-1.347004389879823627e+01
5.555555555555555802e-01,-1.311735943868180776e+01
5.656565656565657463e-01,-1.276614425221216997e+01
5.757575757575758013e-01,-1.241643746463838305e+01
5.858585858585858563e-01,-1.206827920068607973e+01
5.959595959595960224e-01,-1.172171064689549880e+01
6.060606060606060774e-01,-1.137677411922092574e+01
6.161616161616162435e-01,-1.103351313649210752e+01
6.262626262626262985e-01,-1.069197250042420677e+01
6.363636363636364646e-01,-1.035219838296359107e+01
6.464646464646465196e-01,-1.001423842187579893e+01
6.565656565656565746e-01,-9.678141825622587291e+00
6.666666666666667407e-01,-9.343959488742672903e+00
6.767676767676767957e-01,-9.011744119150705501e+00
6.868686868686869618e-01,-8.681550379009479457e+00
6.969696969696970168e-01,-8.353435041120876647e+00
7.070707070707071829e-01,-8.027457163133540519e+00
7.171717171717172379e-01,-7.703678282296531954e+00
7.272727272727272929e-01,-7.382162634018242464e+00
7.373737373737374590e-01,-7.062977398146667696e+00
7.474747474747475140e-01,-6.746192977706368943e+00
7.575757575757576801e-01,-6.431883315857879424e+00
7.676767676767677351e-01,-6.120126258152358112e+00
7.777777777777777901e-01,-5.811003968826960353e+00
7.878787878787879562e-01,-5.504603412049259070e+00
7.979797979797980112e-01,-5.201016911844715374e+00
8.080808080808081773e-01,-4.900342808177132525e+00
8.181818181818182323e-01,-4.602686231654394611e+00
8.282828282828283983e-01,-4.308160026123966979e+00
8.383838383838384534e-01,-4.016885857788999203e+00
8.484848484848485084e-01,-3.728995562613257153e+00
8.585858585858586745e-01,-3.444632802564734586e+00
8.686868686868687295e-01,-3.163955128676184003e+00
8.787878787878788955e-01,-2.887136589934106823e+00
8.888888888888889506e-01,-2.614371090102344031e+00
8.989898989898991166e-01,-2.345876794715198610e+00
9.090909090909091717e-01,-2.081902055326201317e+00
9.191919191919192267e-01,-1.822733601538798931e+00
9.292929292929293927e-01,-1.568708264727794122e+00
9.393939393939394478e-01,-1.320230488491674903e+00
9.494949494949496138e-01,-1.077799954461293730e+00
9.595959595959596689e-01,-8.420584706240453743e-01
9.696969696969697239e-01,-6.138782097982551367e-01
9.797979797979798899e-01,-3.945565696834577585e-01
9.898989898989899450e-01,-1.863949152088410222e-01
1.000000000000000000e+00,-0.000000000000000000e+00
