S7055
T1-18.8 m/s-LLT
Freestream speed = 18.800 m/s


 Ctrl        α (°)        β (°)        φ (°)        CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Lift (N)     Drag (N)     Fx_FF (N)    Fy_FF (N)    Fz_FF (N)    Fx_sum (N)   Fy_sum (N)   Fz_sum (N)   Extra drag (N)  Fuse drag (N)  Cf_Fuse      Vx (m/s)     Vz (m/s)     V (m/s)      Gamma        L (N.m)      M (N.m)      N (N.m)      CPx (m)      CPy (m)      CPz (m)      BM (N.m)     m.g.Vz (W)   Drag x V (W)  Efficiency   XCp.Cl       XNP (m)      Phugoid Freq. (Hz)  Phugoid Damping  Short Period Freq. (Hz)  Short Period Damping Ratio  Dutch Roll Freq. (Hz)  Dutch Roll Damping  Roll Damping  Spiral Damping  Mass (kg)    CoG_x (m)    CoG_z (m)    
          0         -2.6            0            0     0.074759     0.014786     0.014544   0.00024199            0    -0.094464            0    -0.094464   5.7542e-20   9.0554e-20   8.8001e-20   2.5538e-21        5.056       1.3824       3.6574       8.0048       1.5832      0.38901            0       7.9954            0            0            0            0            0            0       18.443            0         18.8       11.188   1.2335e-17      -2.6834   1.8852e-17          nan          nan          nan       1.8198            0       29.765      0.97518          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -2.4            0            0     0.090222     0.014299     0.013943   0.00035591            0    -0.097953            0    -0.097953  -2.6744e-19    7.529e-20   8.6322e-20  -1.1031e-20       6.3099       1.8953       3.3292       9.6606        1.531      0.44262            0       9.6505            0            0            0            0            0            0       18.568            0         18.8       9.0055   -5.732e-17      -2.7826    1.854e-17          nan          nan          nan       2.1984            0       28.783      0.96572          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -2.2            0            0      0.10584     0.014011      0.01352   0.00049125            0     -0.10146            0     -0.10146  -5.7229e-19   8.4295e-20   1.0326e-19  -1.8967e-20       7.5541       2.4576       3.0738       11.333       1.5002       0.4876            0       11.322            0            0            0            0            0            0       18.637            0         18.8       7.5409  -1.2262e-16      -2.8823   2.2776e-17          nan          nan          nan       2.5784            0       28.204      0.96283          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0           -2            0            0      0.12172     0.013789     0.013138   0.00065145            0     -0.10499            0     -0.10499  -2.4382e-19   1.0394e-19   1.1174e-19  -7.8044e-21       8.8274       3.0798       2.8662       13.034       1.4765      0.52458            0       13.023            0            0            0            0            0            0       18.681            0         18.8       6.4631  -5.2241e-17      -2.9825   2.4096e-17          nan          nan          nan       2.9638            0       27.758      0.96034          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -1.8            0            0      0.13761       0.0137     0.012866   0.00083471            0     -0.10853            0     -0.10853   -9.821e-19   1.1728e-19   1.4731e-19  -3.0035e-20       10.044       3.7259       2.6957       14.734        1.467      0.55215            0       14.724            0            0            0            0            0            0       18.708            0         18.8       5.6857  -2.1041e-16      -3.0831    3.174e-17          nan          nan          nan       3.3505            0       27.579      0.95786          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -1.6            0            0      0.15332     0.013595     0.012555    0.0010403            0     -0.11204            0     -0.11204  -4.5402e-19   1.0764e-19   1.1346e-19  -5.8198e-21       11.278        4.416       2.5538       16.417       1.4557      0.56975            0       16.408            0            0            0            0            0            0       18.727            0         18.8       5.0671  -9.7226e-17      -3.1826   2.5776e-17          nan          nan          nan       3.7335            0       27.367      0.95412          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -1.4            0            0      0.16895     0.013514     0.012249     0.001265            0     -0.11552            0     -0.11552  -7.2475e-19    6.633e-20   8.8065e-20  -2.1735e-20       12.502       5.1388       2.4328       18.091        1.447      0.57741            0       18.082            0            0            0            0            0            0        18.74            0         18.8       4.5732  -1.5527e-16      -3.2815   1.8004e-17          nan          nan          nan       4.1159            0       27.204      0.95278          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -1.2            0            0       0.1845     0.013473     0.011961    0.0015127            0     -0.11898            0     -0.11898  -5.6907e-19   5.7048e-20   6.9441e-20  -1.2394e-20       13.694        5.882       2.3281       19.756       1.4427      0.57567            0       19.748            0            0            0            0            0            0        18.75            0         18.8       4.1766   -1.219e-16      -3.3799   1.4773e-17          nan          nan          nan       4.4946            0       27.122      0.95019          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0           -1            0            0      0.20032     0.013481     0.011698    0.0017832            0     -0.12254            0     -0.12254  -1.1046e-18   5.9316e-20   6.6059e-20  -6.7422e-21       14.859       6.6505       2.2343       21.449       1.4435      0.56525            0       21.443            0            0            0            0            0            0       18.758            0         18.8       3.8502  -2.3654e-16       -3.481   1.6833e-17          nan          nan          nan       4.8789            0       27.138      0.95021          nan            0            0            0            0            0            0            0            0            0            0            0            0  
          0         -0.8            0            0      0.21614     0.013553     0.011476    0.0020776            0     -0.12613            0     -0.12613  -1.0028e-18   6.9197e-20   8.1307e-20   -1.211e-20       15.947       7.4139        2.151       23.143       1.4512      0.54556            0       23.137            0            0            0            0            0            0       18.763            0         18.8       3.5882  -2.1477e-16      -3.5829   1.7819e-17          nan          nan          nan       5.2631            0       27.283      0.94942          nan            0            0            0            0            0            0            0            0            0            0            0            0  
